N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
10, 512, 0.3, 10, 80.73, 78.08, 71.13, 53.45
10, 1024, 0.3, 0, 85.24, 89.46, 75.57, 64.06
10, 1024, 0.3, 1, 86.73, 91.06, 75.66, 64.05
10, 1024, 0.3, 2, 86.38, 89.26, 76.6, 63.46
10, 1024, 0.3, 5, 82.77, 83.34, 72.08, 58.36
10, 1024, 0.3, 10, 83.43, 80.87, 70.94, 56.78
10, 2048, 0.3, 0, 90.11, 94.01, 78.11, 69.18
10, 2048, 0.3, 1, 91.22, 94.89, 78.4, 68.34
10, 2048, 0.3, 2, 91.92, 95.27, 79.53, 68.83
10, 2048, 0.3, 5, 90.62, 91.9, 77.26, 63.11
10, 2048, 0.3, 10, 88.8, 89.58, 75.57, 60.57
10, 4096, 0.3, 0, 94.13, 96.57, 78.4, 66.65
10, 4096, 0.3, 1, 94.69, 96.86, 79.06, 67.59
10, 4096, 0.3, 2, 95.25, 97.18, 79.91, 68.11
10, 4096, 0.3, 5, 95.53, 96.71, 79.15, 67.53
10, 4096, 0.3, 10, 92.97, 93.84, 77.08, 62.23
11, 512, 0.3, 0, 79.84, 83.94, 72.08, 67.07
11, 512, 0.3, 1, 79.7, 84.56, 71.98, 63.04
11, 512, 0.3, 2, 80, 82.95, 72.64, 62.72
11, 512, 0.3, 5, 77.47, 77.75, 68.49, 56.02
11, 512, 0.3, 10, 81.66, 80.93, 71.13, 59.16
11, 1024, 0.3, 0, 85.57, 90.03, 75.66, 66.04
11, 1024, 0.3, 1, 86.5, 90.54, 76.13, 64.65
11, 1024, 0.3, 2, 86.36, 89.36, 76.23, 63.29
11, 1024, 0.3, 5, 84.12, 85.03, 71.89, 59.66
11, 1024, 0.3, 10, 83.68, 82.28, 71.7, 57.69
11, 2048, 0.3, 0, 90.71, 94.28, 78.96, 68.76
11, 2048, 0.3, 1, 91.53, 95, 79.06, 67.56
11, 2048, 0.3, 2, 91.85, 95.07, 79.06, 68.04
11, 2048, 0.3, 5, 91.36, 93.12, 77.83, 66.88
11, 2048, 0.3, 10, 88.85, 89.55, 75.09, 61.33
11, 4096, 0.3, 0, 94.18, 96.58, 78.77, 66.97
11, 4096, 0.3, 1, 94.97, 96.97, 79.62, 68.24
11, 4096, 0.3, 2, 95.34, 97.28, 79.15, 68.23
11, 4096, 0.3, 5, 94.27, 96.24, 77.64, 64.07
11, 4096, 0.3, 10, 92.41, 93.43, 75.19, 62.18
12, 512, 0.3, 0, 80.98, 84.76, 73.4, 66.48
12, 512, 0.3, 1, 81.63, 85.8, 73.58, 63.94
12, 512, 0.3, 2, 79.47, 83.52, 71.79, 62.4
12, 512, 0.3, 5, 77.37, 78.46, 68.68, 55.74
12, 512, 0.3, 10, 82.17, 80.61, 73.02, 59.71
12, 1024, 0.3, 0, 85.96, 90.59, 76.98, 63.75
12, 1024, 0.3, 1, 87.22, 91.45, 76.89, 64.66
12, 1024, 0.3, 2, 86.85, 90.32, 75.47, 63.51
12, 1024, 0.3, 5, 84.71, 85.26, 73.49, 60.35
12, 1024, 0.3, 10, 85.1, 85.53, 71.98, 58.43
12, 2048, 0.3, 0, 90.99, 94.53, 78.58, 68.04
12, 2048, 0.3, 1, 92.2, 95.4, 79.53, 69.54
12, 2048, 0.3, 2, 92.92, 95.72, 79.72, 68.6
12, 2048, 0.3, 5, 91.71, 93.09, 77.74, 65.19
12, 2048, 0.3, 10, 89.87, 91.03, 74.81, 59.54
12, 4096, 0.3, 0, 94.88, 97, 79.25, 67.57
12, 4096, 0.3, 1, 95.32, 97.26, 79.91, 68.05
12, 4096, 0.3, 2, 95.39, 97.3, 79.34, 67.71
12, 4096, 0.3, 5, 95.62, 97.21, 79.06, 66.72
12, 4096, 0.3, 10, 93.58, 94.62, 75.47, 62.3
13, 512, 0.3, 0, 80.73, 84.43, 73.96, 64.76
13, 512, 0.3, 1, 81.8, 84.94, 74.53, 64.15
13, 512, 0.3, 2, 80.63, 83.41, 73.11, 62.8
13, 512, 0.3, 5, 79.28, 78.36, 71.89, 59.61
13, 512, 0.3, 10, 82.05, 80.38, 73.77, 60.07
13, 1024, 0.3, 0, 86.62, 90.64, 76.13, 64.66
13, 1024, 0.3, 1, 87.57, 91.47, 77.74, 65
13, 1024, 0.3, 2, 86.57, 89.35, 75.75, 62.83
13, 1024, 0.3, 5, 84.8, 86.43, 72.36, 58.47
13, 1024, 0.3, 10, 84.61, 83.11, 73.02, 55.37
13, 2048, 0.3, 0, 91.22, 94.89, 78.3, 67.19
13, 2048, 0.3, 1, 91.85, 95.32, 78.3, 67.98
13, 2048, 0.3, 2, 92.78, 95.71, 79.43, 68.39
13, 2048, 0.3, 5, 89.97, 91.62, 76.7, 65.24
13, 2048, 0.3, 10, 90.92, 91.42, 75.57, 59.69
13, 4096, 0.3, 0, 95.02, 97.11, 79.25, 67.44
13, 4096, 0.3, 1, 95.95, 97.58, 79.34, 67.73
13, 4096, 0.3, 2, 96.02, 97.63, 79.81, 68.36
13, 4096, 0.3, 5, 95.97, 97.66, 78.49, 66.17
13, 4096, 0.3, 10, 95.67, 96.18, 77.45, 63.59
14, 512, 0.3, 0, 81.42, 85.87, 74.43, 65.79
14, 512, 0.3, 1, 82.29, 87.27, 74.06, 63.74
14, 512, 0.3, 2, 80.28, 83.55, 73.21, 60.98
14, 512, 0.3, 5, 79.33, 80.19, 70.38, 58.03
14, 512, 0.3, 10, 82.87, 81.12, 73.21, 56.72
14, 1024, 0.3, 0, 86.62, 90.97, 76.42, 63.39
14, 1024, 0.3, 1, 88.13, 92.3, 77.36, 63.9
14, 1024, 0.3, 2, 88.08, 90.8, 76.6, 62.99
14, 1024, 0.3, 5, 85.34, 86.86, 73.77, 57.09
14, 1024, 0.3, 10, 85.52, 82.64, 73.4, 56.93
14, 2048, 0.3, 0, 91.78, 95.01, 79.53, 67.67
14, 2048, 0.3, 1, 93.09, 95.86, 79.91, 68.62
14, 2048, 0.3, 2, 93.51, 96.11, 80.57, 69.54
14, 2048, 0.3, 5, 92.04, 94, 76.89, 62.24
14, 2048, 0.3, 10, 90.97, 90.72, 76.13, 63.39
14, 4096, 0.3, 0, 94.95, 97.05, 78.21, 66.58
14, 4096, 0.3, 1, 96.09, 97.65, 79.25, 67.1
14, 4096, 0.3, 2, 96.44, 97.85, 79.81, 67.43
14, 4096, 0.3, 5, 96.67, 97.95, 78.49, 66.49
14, 4096, 0.3, 10, 95.88, 96.8, 76.13, 62.07
15, 512, 0.3, 0, 80.73, 85.45, 72.92, 65.37
15, 512, 0.3, 1, 83.54, 87.25, 75, 63.29
15, 512, 0.3, 2, 81.45, 83.56, 73.4, 62.23
15, 512, 0.3, 5, 80.63, 80.52, 71.98, 59.28
15, 512, 0.3, 10, 82.59, 80.24, 73.77, 58.79
15, 1024, 0.3, 0, 86.59, 90.99, 75.47, 62.41
15, 1024, 0.3, 1, 88.45, 92.05, 76.7, 63.08
15, 1024, 0.3, 2, 87.55, 90.12, 76.32, 63.02
15, 1024, 0.3, 5, 84.99, 86.55, 72.55, 57.28
15, 1024, 0.3, 10, 86.57, 86.12, 73.11, 55.89
15, 2048, 0.3, 0, 92.3, 95.32, 80, 69.31
15, 2048, 0.3, 1, 93.65, 96.15, 80.28, 69.39
15, 2048, 0.3, 2, 93.83, 96.26, 80.28, 68.9
15, 2048, 0.3, 5, 92.06, 94.16, 76.7, 65
15, 2048, 0.3, 10, 92.43, 93.56, 75.57, 60.82
15, 4096, 0.3, 0, 95.76, 97.43, 78.96, 67.24
15, 4096, 0.3, 1, 96.3, 97.71, 79.43, 68.2
15, 4096, 0.3, 2, 96.76, 97.99, 79.43, 66.94
15, 4096, 0.3, 5, 96.86, 98.2, 78.58, 65.26
15, 4096, 0.3, 10, 93.6, 94.46, 74.81, 60.46
16, 512, 0.3, 0, 81.54, 86.43, 75.19, 66.08
16, 512, 0.3, 1, 82.94, 86.86, 74.43, 63.4
16, 512, 0.3, 2, 80.66, 83.75, 72.45, 60.54
16, 512, 0.3, 5, 80.21, 79.78, 70.57, 57.45
16, 512, 0.3, 10, 83.19, 81.76, 71.98, 54.29
16, 1024, 0.3, 0, 87.06, 91.27, 77.26, 63.42
16, 1024, 0.3, 1, 89.15, 92.24, 77.55, 64.34
16, 1024, 0.3, 2, 88.73, 91.04, 76.98, 64.09
16, 1024, 0.3, 5, 86.13, 85.12, 74.34, 58.38
16, 1024, 0.3, 10, 88.64, 87.02, 75.28, 55.99
16, 2048, 0.3, 0, 92.04, 95.37, 80.09, 69.18
16, 2048, 0.3, 1, 94.09, 96.37, 80, 68.62
16, 2048, 0.3, 2, 93.88, 96.32, 81.51, 69.63
16, 2048, 0.3, 5, 92.46, 93.63, 77.45, 62.9
16, 2048, 0.3, 10, 91.36, 91.96, 75.66, 58.43
16, 4096, 0.3, 0, 95.76, 97.46, 78.96, 67.27
16, 4096, 0.3, 1, 96.74, 97.95, 79.43, 66.8
16, 4096, 0.3, 2, 97.09, 98.16, 79.06, 66.16
16, 4096, 0.3, 5, 97.09, 98.21, 78.87, 64.53
16, 4096, 0.3, 10, 95.02, 95.7, 73.49, 59.04
17, 512, 0.3, 0, 81.01, 85.71, 73.68, 66.86
17, 512, 0.3, 1, 82.54, 86.5, 74.91, 63.52
17, 512, 0.3, 2, 82.68, 84.95, 74.62, 61.77
17, 512, 0.3, 5, 80.8, 80.37, 70.47, 56.06
17, 512, 0.3, 10, 83.8, 80.22, 73.02, 55.69
17, 1024, 0.3, 0, 87.31, 91.46, 76.32, 62.81
17, 1024, 0.3, 1, 88.9, 92.42, 76.98, 63.52
17, 1024, 0.3, 2, 88.5, 91.48, 76.98, 62.76
17, 1024, 0.3, 5, 85.78, 86.16, 73.49, 57.97
17, 1024, 0.3, 10, 88.87, 87.35, 75.66, 56.05
17, 2048, 0.3, 0, 92.25, 95.31, 79.91, 67.7
17, 2048, 0.3, 1, 94.23, 96.72, 79.81, 68.72
17, 2048, 0.3, 2, 94.13, 96.41, 79.43, 68.05
17, 2048, 0.3, 5, 90.46, 91.79, 76.23, 61.64
17, 2048, 0.3, 10, 91.69, 91.68, 73.68, 54.6
17, 4096, 0.3, 0, 95.81, 97.57, 79.34, 67.29
17, 4096, 0.3, 1, 96.97, 98.08, 79.72, 66.72
