N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
4, 512, 0, 10, 81.32, 82.43, 75.38, 76.56
4, 1024, 0, 0, 86.44, 88.34, 83.52, 85.95
4, 1024, 0, 1, 86.77, 88.61, 83.41, 85.67
4, 1024, 0, 2, 86.47, 88.37, 81.54, 84.33
4, 1024, 0, 3, 83.63, 85.85, 79.34, 82.51
4, 1024, 0, 4, 80.41, 82.78, 75.6, 78.73
4, 1024, 0, 5, 79.75, 81.42, 76.15, 77.93
4, 1024, 0, 6, 78.26, 81.21, 74.07, 77.79
4, 1024, 0, 7, 82.78, 83.57, 77.03, 78.38
4, 1024, 0, 8, 78.81, 81.54, 72.97, 76.32
4, 1024, 0, 9, 81.07, 82.95, 76.26, 79.09
4, 1024, 0, 10, 82.25, 84.15, 79.01, 81.82
4, 2048, 0, 0, 89.14, 90.61, 84.07, 86.31
4, 2048, 0, 1, 89.78, 90.91, 85.16, 87.22
4, 2048, 0, 2, 89.61, 90.99, 84.62, 86.65
4, 2048, 0, 3, 88.43, 89.5, 82.31, 83.87
4, 2048, 0, 4, 86.91, 89.03, 80.88, 84.17
4, 2048, 0, 5, 84.93, 84.96, 81.21, 82.1
4, 2048, 0, 6, 83.03, 85.76, 76.15, 79.9
4, 2048, 0, 7, 85.95, 87.95, 78.9, 81.38
4, 2048, 0, 8, 82.42, 84.87, 75.05, 78.34
4, 2048, 0, 9, 83.58, 85.88, 76.48, 80.36
4, 2048, 0, 10, 84.71, 85.36, 77.47, 78.78
5, 512, 0, 0, 83.85, 86.44, 81.1, 83.86
5, 512, 0, 1, 83.6, 85.93, 81.54, 84.43
5, 512, 0, 2, 81.92, 83.91, 78.46, 80.75
5, 512, 0, 3, 80.66, 82.01, 76.37, 78.42
5, 512, 0, 4, 76.74, 79.37, 73.19, 76.35
5, 512, 0, 5, 77.85, 80.74, 72.64, 76.38
5, 512, 0, 6, 75.39, 77.46, 70.33, 72.68
5, 512, 0, 7, 76.77, 78.53, 72.75, 75.61
5, 512, 0, 8, 78.01, 81.17, 73.52, 78.29
5, 512, 0, 9, 79.77, 81.79, 76.26, 79.36
5, 512, 0, 10, 78.84, 81.45, 75.05, 78.23
5, 1024, 0, 0, 86.91, 88.61, 84.4, 85.97
5, 1024, 0, 1, 87.99, 89.51, 83.74, 85.98
5, 1024, 0, 2, 87.05, 88.96, 83.41, 85.69
5, 1024, 0, 3, 86.5, 88.56, 81.76, 84.65
5, 1024, 0, 4, 81.15, 83.24, 75.27, 77.67
5, 1024, 0, 5, 83.08, 85.76, 78.57, 81.74
5, 1024, 0, 6, 80.63, 83.88, 74.73, 79.62
5, 1024, 0, 7, 79.03, 81.84, 73.3, 77.37
5, 1024, 0, 8, 81.34, 83.5, 74.84, 77.29
5, 1024, 0, 9, 81.26, 82.77, 72.64, 74.8
5, 1024, 0, 10, 82.31, 83.74, 75.49, 78.2
5, 2048, 0, 0, 89.36, 90.67, 85.05, 86.76
